depth,zenit,azimut
2847.06,0.5,130
2859.4,4,136.12
2865.46,4.71,139.84
2878.5,7.52,143.68
2889.92,10.01,145
2903.09,11.94,147.12
2915.04,13.21,151.24
2928.27,15.02,153.53
2939.45,15.01,155.58
2952.81,15.72,156.6
2964.73,18.14,157.65
2977.05,20.43,156.32
2989.04,22.78,154.56
3001.58,25.06,155.01
3013.8,26.35,155.53
3026.13,28.24,155.58
3038.45,30.51,154.86
3051.2,33.17,155.89
3063.47,34.82,154.93
3075.94,35.74,154.75
3088.01,37.07,155.85
3100.49,39.35,156.34
3112.47,41.62,156.18
3124.83,44.05,154.62
3129.36,44.71,154.52
3141.79,46.25,154.2
3154.03,48,154.51
3166.69,50.26,155.33
3178.79,52.69,155.14
3203.34,55.32,157.1
3228.2,54.69,157.3
3240.79,53.72,157.79
3253.11,54.07,157.65
3265.46,54.47,157.87
3277.66,55.54,157.04
3290.12,56.88,156.03
3302.57,58.56,155.38
3314.87,60.36,154.97
3327.33,62.09,155.09
3339.77,64.03,155.52
3352.17,66.08,156.23
3364.63,68.39,157.14
3376.37,69.36,157.18
3389.17,69.72,156.28
3397.23,70.4,155.98
3401.06,70.6,156.27
3413.9,72.11,156.49
3426.04,74.04,156.39
3450,77.874,156.39
3460,77.874,156.39
3470,77.874,156.39
3480,79.241,156.36
3490,80.609,156.331
3500,81.977,156.302
3500.66,82.067,156.3
3510,82.968,156.3
3520,83.932,156.3
3530,84.896,156.3
3532.06,85.095,156.3
3540,85.861,156.3
3550,86.825,156.3
3560,87.789,156.3
3568.06,88.567,156.3
3570,88.567,156.3
3580,88.567,156.3
3590,88.567,156.3
3600,88.567,156.3
3610,88.567,156.3
3620,88.567,156.3
3630,88.567,156.3
3640,88.567,156.3
3650,88.567,156.3
3660,88.567,156.3
3670,88.567,156.3
3680,88.567,156.3
3690,88.567,156.3
3700,88.567,156.3
3710,88.567,156.3
3720,88.567,156.3
3730,88.567,156.3
3740,88.567,156.3
3750,88.567,156.3
3760,88.567,156.3
3770,88.567,156.3
3780,88.567,156.3
3790,88.567,156.3
3800,88.567,156.3
3810,88.567,156.3
3820,88.567,156.3
3830,88.567,156.3
3840,88.567,156.3
3850,88.567,156.3
3860,88.567,156.3
3870,88.567,156.3
3880,88.567,156.3
3890,88.567,156.3
3900,88.567,156.3
3910,88.567,156.3
3920,88.567,156.3
3930,88.567,156.3
3940,88.567,156.3
3950,88.567,156.3
3960,88.567,156.3
3970,88.567,156.3
3980,88.567,156.3
3990,88.567,156.3
4000,88.567,156.3
4010,88.567,156.3
4020,88.567,156.3
4030,88.567,156.3
4040,88.567,156.3
4050,88.567,156.3
4060,88.567,156.3
4070,88.567,156.3
4080,88.567,156.3
4090,88.567,156.3
4100,88.567,156.3
4110,88.567,156.3
4120,88.567,156.3
4130,88.567,156.3
4140,88.567,156.3
4150,88.567,156.3
4160,88.567,156.3
4170,88.567,156.3
4180,88.567,156.3
4190,88.567,156.3
4200,88.567,156.3
4210,88.567,156.3
4220,88.567,156.3
4230,88.567,156.3
4240,88.567,156.3
4250,88.567,156.3
4260,88.567,156.3
4270,88.567,156.3
4280,88.567,156.3
4290,88.567,156.3
4300,88.567,156.3
4310,88.567,156.3
4320,88.567,156.3
4330,88.567,156.3
4340,88.567,156.3
4350,88.567,156.3
4360,88.567,156.3
4368.06,88.567,156.3
